"Source:","C:\Users\danie_000\Documents\GitHub\Avionics-Hardware\Nosecone\Nose Board.sch"
"Date:","12/23/2017 9:54:32 PM"
"Tool:","Eeschema 4.0.7"
"Component Count:","48"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BZ1","Buzzer","Misc components:Buzzer-CUI_CEP-2242","","",""
"C1","C","Capacitors_SMD:C_0603_HandSoldering","","",""
"C2","C","Capacitors_SMD:C_0603_HandSoldering","","",""
"C3","C","Capacitors_SMD:C_0603_HandSoldering","","",""
"C4","10uF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C5","100nF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C6","10uF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C7","22uF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C8","C","Capacitors_SMD:C_0603_HandSoldering","","",""
"C9","100nF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C10","100nF","Capacitors_SMD:C_0603_HandSoldering","","",""
"C11","4.7uF","Capacitors_SMD:C_0603_HandSoldering","","",""
"D1","LED","LEDs:LED_0603_HandSoldering","","",""
"D2","LED","LEDs:LED_0603_HandSoldering","","",""
"FB1","FERRITE_BEAD-0603","Inductors_SMD:L_0603_HandSoldering","","",""
"J1","Conn_01x02","Connectors_JST:JST_PH_B2B-PH-K_02x2.00mm_Straight","","",""
"J2","Conn_02x04_Odd_Even","Connectors_JST:JST_PUD_B08B-PUDSS_2x04x2.00mm_Straight","","",""
"J3","Conn_02x03_Odd_Even","Pin_Headers:Pin_Header_Straight_2x03_Pitch1.27mm","","",""
"J4","Conn_Coaxial","Connectors:SMA_THT_Jack_Straight","","",""
"J5","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","",""
"L1","10uH","Inductors_SMD:L_7.3x7.3_H4.5","","",""
"Q1","Q_PMOS_DGS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","",""
"Q2","Q_PMOS_DGS","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","",""
"R1","R","Resistors_SMD:R_0603_HandSoldering","","",""
"R2","R","Resistors_SMD:R_0603_HandSoldering","","",""
"R3","10k","Resistors_SMD:R_0603_HandSoldering","","",""
"R4","130k","Resistors_SMD:R_0603_HandSoldering","","",""
"R5","100k","Resistors_SMD:R_0603_HandSoldering","","",""
"R6","R","Resistors_SMD:R_0603_HandSoldering","","",""
"R7","R","Resistors_SMD:R_0603_HandSoldering","","",""
"R8","1M","Resistors_SMD:R_0603_HandSoldering","","",""
"R9","1M","Resistors_SMD:R_0603_HandSoldering","","",""
"R10","470k","Resistors_SMD:R_0603_HandSoldering","","",""
"R11","220","Resistors_SMD:R_0603_HandSoldering","","",""
"R12","220","Resistors_SMD:R_0603_HandSoldering","","",""
"U1","RS485_converter_ISL83488","Misc components:SOIC-8","","",""
"U2","ATXMEGA16A4U-AU","Misc components:QFP_44","","",""
"U3","3.3V_DCDC_Conv_TPS62056DGS","Misc components:SOIC-10","","",""
"U4","GPS_UBX_CAM_M8C","Misc components:UBX_CAM-M8C","","",""
"U5","Via-stitch","Misc components:Small-via","","",""
"U6","XBEE","RF:XBEE","","",""
"U7","OpenLog","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","","",""
"U8","BNO055","Misc components:BNO055_Breakout","","",""
"U9","LTC4412","Misc components:SOIC-6","","",""
"U10","MS5803-14BA","Silicon-Standard:MS5803","","",""
"U11","MS5803-14BA","Silicon-Standard:MS5803","","",""
"U12","Via-stitch","Misc components:Small-via","","",""
"U13","Via-stitch","Misc components:Small-via","","",""
